FILENAME	SEQ	COMPOUND_NAME	MOLECULEMASS	INSTRUMENT	IONSOURCE	EXTRACTSCAN	SMILES	INCHI	INCHIAUX	CHARGE	IONMODE	PUBMED	ACQUISITION	EXACTMASS	DATACOLLECTOR	ADDUCT	INTEREST	LIBQUALITY	GENUS	SPECIES	STRAIN	CASNUMBER	PI
1_2-dehydroaspidospermidine.mgf	*..*	1,2-dehydroaspidospermidine	281.2013	qTof	LC-ESI	1	CC[C@@]12CCCN3CC[C@]4([C@@]23[H])C(CC1)=NC5=C4C=CC=C5	InChI=1S/C19H24N2/c1-2-18-9-5-12-21-13-11-19(17(18)21)14-6-3-4-7-15(14)20-16(19)8-10-18/h3-4,6-7,17H,2,5,8-13H2,1H3/t17-,18-,19-/m1/s1	N/A	1	Positive	N/A	Isolated	280.1939	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
10_hydroxygeissoschizol.mgf	*..*	10-hydroxygeissoschizol	313.1911	qTof	LC-ESI	7	OC1=CC=C(NC2=C3CCN4C2CC(CCO)/C(C4)=C\C)C3=C1	InChI=1S/C19H24N2O2/c1-2-12-11-21-7-5-15-16-10-14(23)3-4-17(16)20-19(15)18(21)9-13(12)6-8-22/h2-4,10,13,18,20,22-23H,5-9,11H2,1H3/b12-2-	N/A	1	Positive	N/A	Isolated	312.1838	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	6870-18-4	Mehdi Beniddir
10_hydroxyusambarine.mgf	*..*	10-hydroxyusambarine	467.2805	qTof	LC-ESI	8	[H][C@@]1(N(C)CCC2=C1NC3=C2C=CC=C3)C[C@@]4([H])C[C@]5([H])N(CCC6=C5NC7=C6C=C(O)C=C7)C[C@@H]4C=C	InChI=1S/C30H34N4O/c1-3-18-17-34-13-11-23-24-16-20(35)8-9-26(24)32-30(23)28(34)15-19(18)14-27-29-22(10-12-33(27)2)21-6-4-5-7-25(21)31-29/h3-9,16,18-19,27-28,31-32,35H,1,10-15,17H2,2H3/t18-,19-,27+,28-/m0/s1	N/A	1	Positive	N/A	Isolated	466.2733	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	42814-43-7	Mehdi Beniddir
10-hydroxy-lanciferine.mgf	*..*	10-hydroxylanciferine	561.2228	qTof	LC-ESI	2	O=C(O1)C[C@]2(C3(COC(/C=C/C4=CC=CC=C4)=O)C(OC)=O)[C@@]1([C@]5([H])C[C@H]3[C@@]6(C(O6)C)CN5C)NC7=CC=C(O)C=C72	InChI=1S/C31H32N2O8/c1-18-29(40-18)16-33(2)24-14-23(29)28(27(37)38-3,17-39-25(35)12-9-19-7-5-4-6-8-19)30-15-26(36)41-31(24,30)32-22-11-10-20(34)13-21(22)30/h4-13,18,23-24,32,34H,14-17H2,1-3H3/b12-9+/t18?,23?,24-,28?,29-,30?,31-/m0/s1	N/A	1	Positive	N/A	Isolated	560.2159	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
10-hydroxypericyclivine-N-oxide.mgf	*..*	10-hydroxypericyclivine-N-oxide	355.167	qTof	LC-ESI	3	C/C=C(C1)\[C@@H]2C[C@@]([N@@+]1([O-])[C@H]([C@H]2C(OC)=O)C3)([H])C4=C3C5=CC(O)=CC=C5N4	InChI=1S/C20H22N2O4/c1-3-10-9-22(25)16-8-14-13-6-11(23)4-5-15(13)21-19(14)17(22)7-12(10)18(16)20(24)26-2/h3-6,12,16-18,21,23H,7-9H2,1-2H3/b10-3-/t12-,16-,17-,18-,22-/m0/s1	N/A	1	Positive	N/A	Isolated	354.158	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
10-hydroxyusambarensine.mgf	*..*	10-hydroxyusambarensine	449.234	qTof	LC-ESI	4	[H][@@]12C[C@@]([H])(/C(CN1CCC3=C2NC4=C3C=CC=C4)=C\C)CC5=NC=CC6=C5NC7=C6C=C(C=C7)O	InChI=1S/C29H28N4O/c1-2-17-16-33-12-10-22-20-5-3-4-6-24(20)32-29(22)27(33)14-18(17)13-26-28-21(9-11-30-26)23-15-19(34)7-8-25(23)31-28/h2-9,11,15,18,27,31-32,34H,10,12-14,16H2,1H3/b17-2-/t18-,27-/m0/s1	N/A	1	Positive	N/A	Isolated	448.2263	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
10MeOaffinisine.mgf	*..*	10-methoxyaffinisine	339.2065	qTof	LC-ESI	6	C/C=C1CN2[C@H]3C[C@H]/1[C@@H](CO)[C@@H]2CC4=C3N(C)C5=CC=C(OC)C=C45	InChI=1S/C21H26N2O2/c1-4-12-10-23-19-9-16-15-7-13(25-3)5-6-18(15)22(2)21(16)20(23)8-14(12)17(19)11-24/h4-7,14,17,19-20,24H,8-11H2,1-3H3/b12-4-/t14-,17-,19+,20+/m1/s1	N/A	1	Positive	N/A	Isolated	338.19943	Le Pogam	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
10-methoxy-pericyclivine-N-oxide.mgf	*..*	10-methoxy-pericyclivine-N-oxide	369.185	qTof	LC-ESI	5	COC1=CC=C2NC([C@@]3(C[C@H]4/C5=C\C)[H])=C(C[C@H]([N@+]3(C5)[O-])[C@H]4C(OC)=O)C2=C1	InChI=1S/C21H24N2O4/c1-4-11-10-23(25)17-9-15-14-7-12(26-2)5-6-16(14)22-20(15)18(23)8-13(11)19(17)21(24)27-3/h4-7,13,17-19,22H,8-10H2,1-3H3/b11-4-/t13-,17-,18-,19-,23-/m0/s1	N/A	1	Positive	N/A	Isolated	368.1736	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
11_hydroxyusambarine.mgf	*..*	11-hydroxyusambarine	467.2805	qTof	LC-ESI	11	[H][C@@]1(N(C)CCC2=C1NC3=C2C=CC=C3)C[C@@]4([H])C[C@]5([H])N(CCC6=C5NC7=C6C=CC(O)=C7)C[C@@H]4C=C	InChI=1S/C30H34N4O/c1-3-18-17-34-13-11-24-22-9-8-20(35)16-26(22)32-30(24)28(34)15-19(18)14-27-29-23(10-12-33(27)2)21-6-4-5-7-25(21)31-29/h3-9,16,18-19,27-28,31-32,35H,1,10-15,17H2,2H3/t18-,19-,27+,28-/m0/s1	N/A	1	Positive	N/A	Isolated	466.2733	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	67658-00-8	Mehdi Beniddir
11_methoxyyohimbine.mgf	*..*	11-methoxyyohimbine	385.2122	qTof	LC-ESI	12	[H][C@](N1CC2)(C[C@@]([C@@H](C(OC)=O)[C@@H](O)CC3)([H])[C@]3([H])C1)C4=C2C5=C(N4)C=C(OC)C=C5	InChI=1S/C22H28N2O4/c1-27-13-4-5-14-15-7-8-24-11-12-3-6-19(25)20(22(26)28-2)16(12)10-18(24)21(15)23-17(14)9-13/h4-5,9,12,16,18-20,23,25H,3,6-8,10-11H2,1-2H3/t12-,16-,18-,19-,20+/m0/s1	N/A	1	Positive	N/A	Isolated	384.2049	Alexander Fox Ramos	M+H	N/A	3	N/A	N/A	N/A	65025-21-0	Mehdi Beniddir
11-hydroxytabersonine.mgf	*..*	11-hydroxytabersonine	353.183	qTof	LC-ESI	9	O=C(C1=C(NC2=C3C=CC(O)=C2)[C@]43[C@@]5([C@](CC)(C1)C=CCN5CC4)[H])OC	InChI=1S/C21H24N2O3/c1-3-20-7-4-9-23-10-8-21(19(20)23)15-6-5-13(24)11-16(15)22-17(21)14(12-20)18(25)26-2/h4-7,11,19,22,24H,3,8-10,12H2,1-2H3/t19-,20-,21-/m0/s1	N/A	1	Positive	N/A	Isolated	352.1787	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
11-methoxy-tabersonine.mgf	*..*	11-methoxy-tabersonine	366.194	qTof	LC-ESI	10	O=C(C1=C(NC2=C3C=CC(OC)=C2)[C@]43[C@@]5([C@](CC)(C1)C=CCN5CC4)[H])OC	InChI=1S/C22H26N2O3/c1-4-21-8-5-10-24-11-9-22(20(21)24)16-7-6-14(26-2)12-17(16)23-18(22)15(13-21)19(25)27-3/h5-8,12,20,23H,4,9-11,13H2,1-3H3/t20-,21-,22-/m0/s1	N/A	1	Positive	N/A	Isolated	366.1943	Sarah Szwarc	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
12MeO_voaphylline.mgf	*..*	12-methoxyvoaphylline	327.2075	qTof	LC-ESI	13	CC[C@]12CCC3=C(C4=CC=CC(OC)=C4N3)CCN(C[C@@H]5[C@H]2O5)C1	InChI=1S/C20H26N2O2/c1-3-20-9-7-15-13(8-10-22(12-20)11-17-19(20)24-17)14-5-4-6-16(23-2)18(14)21-15/h4-6,17,19,21H,3,7-12H2,1-2H3/t17-,19-,20+/m1/s1	N/A	1	Positive	N/A	Isolated	326.19943	Le Pogam	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
14_15_dehydrovincamine.mgf	*..*	14-dehydro-vincamine	353.1868	qTof	LC-ESI	15	CC[C@@]12C=CCN3[C@]1([H])C4=C(C5=C(C=CC=C5)N4[C@](C(OC)=O)(O)C2)CC3	InChI=1S/C21H24N2O3/c1-3-20-10-6-11-22-12-9-15-14-7-4-5-8-16(14)23(17(15)18(20)22)21(25,13-20)19(24)26-2/h4-8,10,18,25H,3,9,11-13H2,1-2H3/t18-,20+,21+/m1/s1	N/A	1	Positive	N/A	Isolated	352.17869	Le Pogam	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
14-15-Dehydrovincine.mgf	*..*	14,15-Dehydrovincine	383.1975874	qTof	LC-ESI	14	CC[C@@]12C=CCN3[C@]1([H])C4=C(C5=C(C=C(OC)C=C5)N4[C@](C(OC)=O)(O)C2)CC3	InChI=1S/C22H26N2O4/c1-4-21-9-5-10-23-11-8-16-15-7-6-14(27-2)12-17(15)24(18(16)19(21)23)22(26,13-21)20(25)28-3/h5-7,9,12,19,26H,4,8,10-11,13H2,1-3H3/t19-,21+,22+/m1/s1	N/A	1	Positive	N/A	Isolated	382.18926	Le Pogam	M+H	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
16-Demethoxy-20-epi-serpentinine.mgf	*..*	16-demethoxy-20-epi-serpentinine	671.321	qTof	LC-ESI	16	C/C=C1CN(CCC2=C3NC4=CC=CC=C24)[C@@]3([H])CC/1([H])[C@H](CC5=C[N+]6=C(C7=C5C8=C(N7)C=CC=C8)C[C@@]([H])(C9(C6)[H])C(C(OC)=O)=CO[C@H]9C)C(O)=O	InChI=1S/C41H42N4O5/c1-4-23-18-44-14-13-26-25-9-5-7-11-33(25)42-38(26)35(44)16-28(23)30(40(46)47)15-24-19-45-20-31-22(2)50-21-32(41(48)49-3)29(31)17-36(45)39-37(24)27-10-6-8-12-34(27)43-39/h4-12,19,21-22,28-31,35,42H,13-18,20H2,1-3H3,(H,46,47)/p+1/b23-4-/t22-,28?,29-,30-,31?,35-/m0/s1	N/A	1	Positive	N/A	Isolated	671.3228	Sarah Szwarc	M+	N/A	3	N/A	N/A	N/A	N/A	Beniddir/Le Pogam
